,transcriptid
83,13382
84,15710
85,18033
86,18034
87,18035
88,21298
89,31016
90,39305
91,46982
92,58082
93,69690
94,81340
95,95321
96,116221
97,132606
98,145244
99,177581
100,197020
101,210122
102,285651
103,313896
104,320543
105,334020
106,366542
107,389614
108,400154
109,404526
110,443813
111,485146
112,529023
113,573491
114,612064
115,639461
116,652958
117,658077
118,669284
119,696813
120,708269
121,751919
122,807406
123,821158
124,852077
125,868324
126,894664
127,900064
128,936598
129,981740
130,988394
131,1025985
132,1081816
133,1087723
134,1146982
135,1159531
136,1194405
137,1212044
138,1225760
139,1277218
140,1343547
141,1355926
142,1362394
143,1408317
144,1418113
145,1462528
146,1471811
147,1486451
148,1491184
149,1539312
150,1613884
151,1618222
152,1632114
153,1665720
154,1741438
155,1770543
156,1771218
157,1803244
158,1828363
159,1857318
160,13124
161,15885
162,18038
163,18039
164,18040
165,21717
166,28733
167,40503
168,49605
169,59388
170,75863
171,83157
172,101965
173,120310
174,133576
175,135841
176,149918
177,169930
178,182591
179,215310
180,264698
181,297138
182,338962
183,376285
184,394522
185,413350
186,415452
187,453997
188,494975
189,513269
190,539308
191,561234
192,578786
193,582988
194,627514
195,670111
196,693977
197,717539
198,757434
199,762796
200,805927
201,848860
202,870516
203,890832
204,913004
205,927104
206,974973
207,1026238
208,1046186
209,1075286
210,1093024
211,1099272
212,1123362
213,1133813
214,1192154
215,1217663
216,1266747
217,1302023
218,1302309
219,1332810
220,1385125
221,1415113
222,1449105
223,1500797
224,1532467
225,1556588
226,1599769
227,1625249
228,1651047
229,1658765
230,1679729
231,1726015
232,1767786
233,1769943
234,1791034
235,1825948
236,1849422
237,684
238,686
239,10292
240,12977
241,15965
242,20026
243,26495
244,37950
245,47470
246,57449
247,69127
248,80989
249,96541
250,117874
251,135859
252,146548
253,178069
254,213332
255,290784
256,333677
257,370887
258,406567
259,448260
260,490099
261,533471
262,574778
263,616645
264,663362
265,708815
266,752830
267,793870
268,837994
269,880695
270,956000
271,966866
272,1018169
273,1065586
274,1124300
275,1183403
276,1256658
277,1322530
278,1379289
279,1441411
280,1511734
281,1567327
282,1580659
283,1645771
284,1732356
285,1781312
286,1840684
287,14365
288,17612
289,17984
290,17985
291,17986
292,22340
293,28647
294,56052
295,61129
296,85342
297,111538
298,122946
299,145562
300,152086
301,163554
302,163608
